username,bonus_template_name,amount_deposited,num_deposits,num_bets,all_stake_total
BETR97567768,WOODS230222_Ajax,7421,410,410,405
BETR89652465,WOODS230222_Ajax,798,38,38,17.5
BETR49643687,WOODS230222_Ajax,300,15,15,17.16
BETR37933578,WOODS230222_Ajax,80,4,4,37.42
BETR82275746,WOODS230222_Ajax,202,2,2,101
BETR45937995,WOODS230222_Ajax,260,13,13,115.6
BETR66539673,WOODS230222_Ajax,209646,12654,12654,10048.46
BETR92648929,WOODS230222_Ajax,20,1,1,1
BETR94463452,WOODS230222_Ajax,9570,462,462,822.5
BETR86395549,WOODS230222_Ajax,80,4,4,20
BETR42946792,WOODS230222_Ajax,120,6,6,12
BETR62728644,WOODS230222_Ajax,240,12,12,17.45
BETR22874343,WOODS230222_Ajax,20,1,1,1
BETR38275462,WOODS230222_Ajax,620,31,31,152.62
BETR34292630,WOODS230222_Ajax,46284,2128,2128,1743.12
BETR27537380,WOODS230222_Ajax,175,10,10,62.14
BETR43692834,WOODS230222_Ajax,20,1,1,1
BETR67956547,WOODS230222_Ajax,1040,52,52,73.98
BETR68234798,WOODS230222_Ajax,700,35,35,105
BETR32632575,WOODS230222_Ajax,40,2,2,6
BETR66583225,WOODS230222_Ajax,440,30,30,18
BETR24532852,WOODS230222_Ajax,20,1,1,1
BETR95786871,WOODS230222_Ajax,20,1,1,1
BETR48839296,WOODS230222_Ajax,200,10,10,40
BETR22684393,WOODS230222_Ajax,70,6,6,18
BETR62982824,WOODS230222_Ajax,1190,70,70,200
BETR48467994,WOODS230222_Ajax,120,12,12,30
BETR22647336,WOODS230222_Ajax,20,1,1,1
BETR54385978,WOODS230222_Ajax,100,5,5,31
BETR25959276,WOODS230222_Ajax,1540,44,44,100
BETR89376422,WOODS230222_Ajax,120,6,6,25.88
BETR87327563,WOODS230222_Ajax,220,11,11,15
BETR77748996,WOODS230222_Ajax,1400,70,70,30
BETR88895870,WOODS230222_Ajax,8840,340,340,400
BETR35488544,WOODS230222_Ajax,75,3,3,5
BETR54956482,WOODS230222_Ajax,20,1,1,1
BETR83269867,WOODS230222_Ajax,40,2,2,20
BETR55789935,WOODS230222_Ajax,1092,6,6,6
BETR24476354,WOODS230222_Ajax,40,2,2,20
BETR88893937,WOODS230222_Ajax,40,2,2,6
BETR85772785,WOODS230222_Ajax,40,2,2,20
BETR26796238,WOODS230222_Ajax,7050,200,200,562
BETR34724827,WOODS230222_Ajax,14400,1280,1280,643.92
BETR49683690,WOODS230222_Ajax,320,16,16,35
BETR25783581,WOODS230222_Ajax,21320,287,287,4028.92
BETR45992772,WOODS230222_Ajax,7440,93,93,33.33
BETR87966946,WOODS230222_Ajax,100,5,5,20
BETR43486334,WOODS230222_Ajax,1800,90,90,481.15
